,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 005:Marker1,RigidBody 005:Marker1,RigidBody 005:Marker1,RigidBody 005:Marker2,RigidBody 005:Marker2,RigidBody 005:Marker2,RigidBody 005:Marker3,RigidBody 005:Marker3,RigidBody 005:Marker3,RigidBody 005:Marker4,RigidBody 005:Marker4,RigidBody 005:Marker4,RigidBody 006:Marker1,RigidBody 006:Marker1,RigidBody 006:Marker1,RigidBody 006:Marker2,RigidBody 006:Marker2,RigidBody 006:Marker2,RigidBody 006:Marker3,RigidBody 006:Marker3,RigidBody 006:Marker3,RigidBody 006:Marker4,RigidBody 006:Marker4,RigidBody 006:Marker4
,ID,"BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","CBBC0","CBBC0","CBBC0","CB9C0","CB9C0","CB9C0","CB9E0","CB9E0","CB9E0","CBD40","CBD40","CBD40","CB970","CB970","CB970","CBB00","CBB00","CBB00","CB960","CB960","CB960","CB9D0","CB9D0","CB9D0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,Z,X,X,Y,Z,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.055556,0.970729,-0.352536,-0.135313,3.005558,0.157679,0.317701,1.012150,-0.748149,0.626576,3.004593,0.154877,0.318204,3.005472,0.096618,0.250110,3.004457,0.157895,0.251870,2.976785,0.158555,0.317169,,,,3.009908,0.095172,0.284807,3.037472,0.073521,0.285774,3.026453,0.091750,0.371891,3.005797,0.154242,0.384904
21,0.058333,0.951769,-0.387175,-0.130349,3.005549,0.157681,0.317735,1.053235,-0.753135,0.633198,3.004558,0.154876,0.318209,3.005452,0.096648,0.250132,3.004471,0.157872,0.251904,2.976774,0.158582,0.317202,,,,3.009880,0.095178,0.284826,3.037468,0.073537,0.285784,3.026454,0.091741,0.371867,3.005793,0.154237,0.384906
22,0.061111,,,,,,,,,,,,,3.005478,0.096618,0.250142,3.004502,0.157839,0.251915,2.976787,0.158558,0.317165,,,,3.009896,0.095165,0.284819,3.037464,0.073494,0.285744,3.026449,0.091726,0.371854,3.005806,0.154254,0.384928
23,0.063889,0.957727,-0.366398,-0.145925,3.005551,0.157687,0.317716,1.005372,-0.754657,0.641644,3.004604,0.154884,0.318211,3.005466,0.096634,0.250136,3.004461,0.157868,0.251895,2.976782,0.158571,0.317170,,,,3.009886,0.095206,0.284814,3.037460,0.073508,0.285760,3.026456,0.091730,0.371875,3.005803,0.154237,0.384905
24,0.066667,0.931252,-0.380979,-0.120121,3.005554,0.157644,0.317736,1.074020,-0.757871,0.643670,3.004557,0.154868,0.318215,3.005490,0.096597,0.250117,3.004489,0.157871,0.251929,2.976789,0.158545,0.317171,,,,3.009875,0.095178,0.284840,3.037469,0.073528,0.285783,3.026474,0.091706,0.371832,3.005803,0.154236,0.384916
25,0.069444,0.948327,-0.392604,-0.130121,3.005550,0.157677,0.317721,1.062960,-0.762436,0.652683,3.004567,0.154875,0.318216,3.005450,0.096652,0.250119,3.004472,0.157864,0.251898,2.976779,0.158579,0.317175,,,,3.009870,0.095191,0.284811,3.037472,0.073517,0.285763,3.026469,0.091703,0.371839,3.005803,0.154237,0.384924
26,0.072222,1.001904,-0.313706,-0.162501,3.005536,0.157722,0.317686,1.070959,-0.769896,0.640443,3.004554,0.154875,0.318216,3.005455,0.096628,0.250125,3.004407,0.157911,0.251840,2.976757,0.158577,0.317185,,,,3.009855,0.095186,0.284830,3.037467,0.073527,0.285785,3.026455,0.091717,0.371861,3.005797,0.154239,0.384915
27,0.075000,0.959226,-0.353544,-0.121349,3.005544,0.157669,0.317711,1.002266,-0.756905,0.646460,3.004611,0.154871,0.318212,3.005477,0.096630,0.250091,3.004452,0.157882,0.251893,2.976771,0.158559,0.317176,,,,3.009877,0.095193,0.284831,3.037466,0.073493,0.285740,3.026458,0.091695,0.371848,3.005805,0.154239,0.384918
28,0.077778,0.955420,-0.382690,-0.128454,3.005542,0.157680,0.317716,1.045669,-0.787070,0.649571,3.004586,0.154881,0.318213,3.005444,0.096661,0.250113,3.004454,0.157864,0.251898,2.976773,0.158576,0.317169,,,,3.009880,0.095198,0.284816,3.037472,0.073521,0.285784,3.026443,0.091712,0.371858,3.005803,0.154229,0.384908
29,0.080556,0.972421,-0.366246,-0.127523,3.005555,0.157685,0.317714,0.994883,-0.747087,0.639315,3.004608,0.154879,0.318208,3.005453,0.096657,0.250113,3.004447,0.157885,0.251897,2.976787,0.158571,0.317172,,,,3.009896,0.095189,0.284813,3.037464,0.073498,0.285750,3.026455,0.091725,0.371862,3.005798,0.154248,0.384917
