Amplitude Settings: 480.00, 480.00
Frequency Settings: 1.30,1.30
Bias Setting: 1040
================================================================
Time [s]Pos [deg]Acutal Pos [deg]Velocity [RPM]Yaw [deg]Current [mA]
18.19, 645.56, 103.31, -30.69, -218.30, -458.00
18.30, 578.14, 71.02, -49.24, -216.40, -42.00
18.42, 861.90, 55.70, -14.89, -216.83, 190.00
18.52, 1267.53, 65.38, 18.55, -209.28, 420.00
18.63, 1510.92, 95.04, 49.01, -185.08, 293.00
18.74, 1411.00, 119.59, 30.46, -189.16, 3.00
18.84, 1044.53, 122.32, -1.83, -203.97, -192.00
18.95, 672.28, 106.39, -26.79, -225.86, -439.00
19.06, 567.41, 74.01, -51.53, -235.29, -68.00
19.17, 804.54, 55.18, -22.21, -238.61, 164.00
19.28, 1213.32, 62.13, 15.34, -230.78, 426.00
19.38, 1494.51, 91.43, 49.69, -202.15, 325.00
19.49, 1448.00, 118.27, 34.58, -206.09, 11.00
19.62, 1033.67, 123.38, -1.14, -221.28, -199.00
19.73, 665.39, 106.57, -30.69, -250.40, -481.00
19.83, 569.43, 72.95, -52.21, -249.55, -58.00
19.94, 814.06, 55.09, -20.84, -254.76, 162.00
20.05, 1219.78, 63.27, 17.86, -245.76, 381.00
20.16, 1497.89, 91.96, 48.78, -216.04, 335.00
20.26, 1444.31, 117.83, 33.21, -216.90, 11.00
20.37, 1097.17, 123.11, 1.83, -230.73, -204.00
20.48, 711.20, 109.38, -23.82, -260.84, -460.00
20.58, 561.04, 77.70, -51.98, -275.59, -118.00
20.70, 772.95, 55.53, -25.42, -277.30, 136.00
20.80, 1174.50, 60.46, 12.60, -272.09, 400.00
20.91, 1481.24, 88.79, 49.01, -244.42, 333.00
21.02, 1468.10, 117.22, 38.01, -247.57, 22.00
21.13, 1144.41, 124.70, 5.04, -259.89, -190.00
21.24, 744.62, 111.85, -23.13, -276.21, -417.00
21.34, 560.28, 80.70, -51.30, -280.82, -174.00
21.45, 722.57, 58.43, -27.94, -285.04, 51.00
21.56, 1116.28, 59.84, 7.10, -285.06, 316.00
21.67, 1452.39, 82.72, 40.76, -252.52, 451.00
21.77, 1491.72, 110.79, 37.78, -250.45, 83.00
21.89, 1183.16, 121.53, 8.70, -263.08, -117.00
21.99, 780.52, 111.58, -18.32, -287.23, -445.00
22.10, 563.31, 87.21, -44.43, -313.19, -266.00
22.21, 690.92, 57.90, -40.76, -315.45, 45.00
22.32, 1072.55, 54.65, 0.92, -287.39, 456.00
22.42, 1428.15, 77.26, 40.53, -233.86, 607.00
22.53, 1504.69, 94.86, 23.59, -179.83, 565.00
22.64, 1246.01, 108.50, 20.84, -126.30, -3.00
22.75, 836.17, 111.94, 0.46, -78.23, -419.00
22.85, 575.92, 94.60, -32.29, -66.24, -481.00
22.96, 650.43, 67.06, -38.93, -60.56, 0.00
23.07, 1020.70, 60.02, -0.92, -51.78, 248.00
23.18, 1398.05, 74.45, 26.79, -16.19, 502.00
23.29, 1514.95, 100.76, 38.01, 7.60, 241.00
23.40, 1288.22, 117.57, 19.69, 25.72, -29.00
23.50, 884.23, 114.49, -8.47, 37.55, -282.00
23.61, 590.46, 96.36, -33.43, 14.57, -441.00
23.72, 624.41, 65.74, -45.57, 21.07, 0.00
23.83, 957.47, 53.06, -12.60, 68.70, 373.00
23.93, 1352.65, 73.13, 37.33, 109.00, 369.00
24.04, 1519.96, 90.02, 21.07, 162.53, 735.00
24.15, 1340.35, 106.30, 25.19, 204.84, 31.00
24.26, 922.68, 115.02, 9.85, 237.40, -307.00
24.37, 607.76, 104.63, -21.07, 224.89, -670.00
24.48, 604.15, 77.88, -39.85, 234.02, -121.00
24.58, 914.50, 62.92, -17.17, 230.11, 106.00
24.69, 1314.77, 70.93, 14.89, 232.61, 517.00
24.80, 1518.50, 95.39, 42.82, 259.63, 265.00
24.91, 1376.20, 122.76, 35.27, 261.31, -29.00
25.01, 989.13, 122.50, -7.56, 239.04, -256.00
25.12, 641.31, 104.46, -29.08, 207.13, -531.00
25.23, 580.25, 71.72, -52.21, 202.13, -25.00
25.33, 850.75, 53.68, -20.15, 204.84, 249.00
25.45, 1274.14, 63.18, 18.55, 225.24, 459.00
25.56, 1512.32, 94.42, 51.30, 258.03, 294.00
25.66, 1408.69, 121.70, 35.49, 259.47, 3.00
25.77, 1036.99, 124.52, -2.29, 253.54, -289.00
25.88, 669.96, 106.74, -34.35, 222.52, -413.00
25.99, 568.79, 75.06, -47.63, 214.40, -112.00
26.09, 807.69, 58.87, -18.09, 202.50, 92.00
26.20, 1216.70, 65.21, 15.11, 214.47, 378.00
26.31, 1495.66, 89.85, 41.45, 241.87, 398.00
26.42, 1446.08, 114.84, 32.29, 240.80, 24.00
26.52, 1104.35, 121.26, 3.43, 222.36, -168.00
26.64, 699.53, 108.68, -19.24, 190.90, -493.00
26.74, 562.39, 79.90, -48.78, 167.19, -125.00
26.85, 770.20, 55.79, -30.23, 171.22, 142.00
26.96, 1175.07, 58.17, 8.47, 173.77, 452.00
27.07, 1479.92, 84.48, 44.65, 227.80, 566.00
27.17, 1467.82, 104.72, 29.31, 281.32, 172.00
27.28, 1147.65, 121.00, 23.59, 317.29, -220.00
27.39, 747.24, 117.13, -9.62, 318.80, -776.00
27.50, 560.40, 98.82, -32.29, 290.75, -905.00
27.60, 717.17, 84.83, -20.15, 236.72, -230.00
27.71, 1109.12, 77.79, -10.99, 183.19, 79.00
27.82, 1458.58, 82.37, 6.18, 135.94, 913.00
27.93, 1488.80, 90.38, 15.57, 134.08, 681.00
28.04, 1193.77, 108.86, 30.92, 132.79, -30.00
28.14, 789.98, 110.79, -3.89, 138.72, -409.00
28.25, 564.75, 95.83, -26.79, 106.91, -566.00
28.36, 685.99, 69.87, -36.64, 94.36, -6.00
28.47, 1061.40, 63.27, -3.89, 91.64, 195.00
